Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.418541651E-3,-4.475692749E-2,2.293231201E-1,9.882449341E0,9.885211037E0
1.139454165E-2,-4.340972900E-2,2.200424194E-1,9.858349457E0,9.860900419E0
2.137054165E-2,-5.074447632E-2,2.180964661E-1,9.881251831E0,9.883788687E0
3.134554165E-2,-4.819976807E-2,2.233355713E-1,9.859996033E0,9.862642839E0
4.132154165E-2,-4.326004028E-2,2.239343262E-1,9.853409729E0,9.856048970E0
5.129754165E-2,-4.520599365E-2,2.284249878E-1,9.880952454E0,9.883695814E0
6.127254170E-2,-4.760101318E-2,2.249821472E-1,9.849667511E0,9.852351643E0
7.124854164E-2,-5.269042969E-2,2.267784119E-1,9.885742493E0,9.888483673E0
8.122454165E-2,-3.921844482E-2,2.239343262E-1,9.866881714E0,9.869500465E0
9.119954170E-2,-4.999603271E-2,2.293231201E-1,9.871971130E0,9.874760893E0
1.011755417E-1,-5.598358154E-2,2.216889954E-1,9.857002258E0,9.859653832E0
1.111515417E-1,-4.969665527E-2,2.155517578E-1,9.852960663E0,9.855443478E0
1.211265417E-1,-5.074447632E-2,2.261796570E-1,9.873318329E0,9.876039037E0
1.311025417E-1,-4.520599365E-2,2.170486450E-1,9.858349457E0,9.860842140E0
1.410785417E-1,-4.954696655E-2,2.275268555E-1,9.875713348E0,9.878458256E0
1.510535417E-1,-4.041595459E-2,2.300715637E-1,9.860295410E0,9.863061997E0
1.610295417E-1,-4.999603271E-2,2.183958435E-1,9.865384827E0,9.867928563E0
1.710055417E-1,-4.939727783E-2,2.243833923E-1,9.858648834E0,9.861325714E0
1.809805417E-1,-4.221221924E-2,2.252815247E-1,9.876461792E0,9.879120971E0
1.909565417E-1,-5.239105225E-2,2.139051819E-1,9.867929535E0,9.870386697E0
2.009315417E-1,-5.598358154E-2,2.243833923E-1,9.868827667E0,9.871536942E0
2.109075417E-1,-5.104385376E-2,2.342628479E-1,9.869576111E0,9.872487891E0
2.208835417E-1,-5.179229736E-2,2.204914856E-1,9.846823425E0,9.849427928E0
2.308585417E-1,-6.945556641E-2,2.149530029E-1,9.864037628E0,9.866623901E0
2.408345417E-1,-6.361770630E-2,2.158511353E-1,9.868827667E0,9.871392934E0
2.508105417E-1,-4.924758911E-2,2.278262329E-1,9.867330780E0,9.870083426E0
2.607855417E-1,-4.266128540E-2,2.273771667E-1,9.862091675E0,9.864804740E0
2.707615417E-1,-4.834945679E-2,2.191442871E-1,9.865235138E0,9.867787301E0
2.807375417E-1,-4.715194702E-2,2.248324585E-1,9.861193542E0,9.863868968E0
2.907125417E-1,-5.179229736E-2,2.254312134E-1,9.855804749E0,9.858518596E0
3.006885417E-1,-6.137237549E-2,2.231858826E-1,9.860744476E0,9.863460860E0
3.106645417E-1,-5.164260864E-2,2.290237427E-1,9.860445099E0,9.863239649E0
3.206395417E-1,-4.864883423E-2,2.136058044E-1,9.866282959E0,9.868714890E0
3.306155417E-1,-5.493576050E-2,2.231858826E-1,9.865085449E0,9.867762705E0
3.405915417E-1,-5.972579956E-2,2.222877502E-1,9.866282959E0,9.868967446E0
3.505665417E-1,-4.131408691E-2,2.116598511E-1,9.854307861E0,9.856667295E0
3.605425417E-1,-3.817062378E-2,2.245330811E-1,9.856253815E0,9.858884894E0
3.705185417E-1,-4.460723877E-2,2.242337036E-1,9.866133270E0,9.868781904E0
3.804935417E-1,-4.505630493E-2,2.315684509E-1,9.862540741E0,9.865361822E0
3.904695417E-1,-4.805007935E-2,2.263293457E-1,9.873318329E0,9.876028990E0
4.004455417E-1,-4.969665527E-2,2.191442871E-1,9.853858795E0,9.856420604E0
4.104205417E-1,-5.508544922E-2,2.234852600E-1,9.876761169E0,9.879442862E0
4.203965417E-1,-4.805007935E-2,2.104623413E-1,9.864786072E0,9.867147888E0
4.303725417E-1,-4.056564331E-2,2.194436646E-1,9.856702881E0,9.859228812E0
4.403475416E-1,-5.089416504E-2,2.142045593E-1,9.866133270E0,9.868589540E0
4.503235416E-1,-5.134323120E-2,2.246827698E-1,9.863438873E0,9.866131201E0
4.602985417E-1,-4.221221924E-2,2.185455322E-1,9.860594788E0,9.863106690E0
4.702745417E-1,-4.790039063E-2,2.252815247E-1,9.858798523E0,9.861488454E0
4.802505416E-1,-5.763015747E-2,2.194436646E-1,9.857601013E0,9.860211686E0
4.902255417E-1,-3.906875610E-2,2.297721863E-1,9.872270508E0,9.875021347E0
5.002015417E-1,-5.209167480E-2,2.344125366E-1,9.864337006E0,9.867259363E0
5.101775417E-1,-4.909790039E-2,2.326162720E-1,9.870174866E0,9.873037669E0
5.201525417E-1,-6.032455444E-2,2.258802795E-1,9.851763153E0,9.854536934E0
5.301287917E-1,-4.400848389E-2,2.306703186E-1,9.865235138E0,9.868029685E0
5.401047917E-1,-4.370910645E-2,2.242337036E-1,9.870324554E0,9.872968047E0
5.500797917E-1,-4.475692749E-2,2.263293457E-1,9.866732025E0,9.869429011E0
5.600557917E-1,-4.161346436E-2,2.242337036E-1,9.857451324E0,9.860089201E0
5.700317917E-1,-4.685256958E-2,2.327659607E-1,9.868677979E0,9.871533832E0
5.800067917E-1,-5.179229736E-2,2.287243652E-1,9.875863037E0,9.878647074E0
5.899827917E-1,-4.101470947E-2,2.219883728E-1,9.882149963E0,9.884728066E0
5.999587917E-1,-5.298980713E-2,2.267784119E-1,9.875413971E0,9.878159619E0
6.099337917E-1,-4.311035156E-2,2.236349487E-1,9.861343231E0,9.863972902E0
6.199097917E-1,-4.715194702E-2,2.246827698E-1,9.867630157E0,9.870300430E0
6.298857917E-1,-5.164260864E-2,2.242337036E-1,9.876162415E0,9.878842632E0
6.398607917E-1,-4.805007935E-2,2.335144043E-1,9.867181091E0,9.870060814E0
6.498367917E-1,-4.655319214E-2,2.224374390E-1,9.862391052E0,9.865009016E0
6.598127917E-1,-5.104385376E-2,2.261796570E-1,9.870025177E0,9.872748336E0
6.697877917E-1,-5.508544922E-2,2.281256104E-1,9.871372375E0,9.874161649E0
6.797637917E-1,-5.792953491E-2,2.234852600E-1,9.858199768E0,9.860902807E0
6.897397917E-1,-5.119354248E-2,2.219883728E-1,9.865684204E0,9.868314164E0
6.997147917E-1,-4.640350342E-2,2.192939758E-1,9.873018951E0,9.875563090E0
7.096907917E-1,-5.044509888E-2,2.177970886E-1,9.859546967E0,9.862081254E0
7.196657917E-1,-4.580474854E-2,2.228865051E-1,9.863588562E0,9.866212839E0
7.296417917E-1,-5.044509888E-2,2.215393066E-1,9.855505371E0,9.858124086E0
7.396177917E-1,-5.508544922E-2,2.180964661E-1,9.870324554E0,9.872887485E0
7.495927917E-1,-5.388793945E-2,2.258802795E-1,9.875264282E0,9.877994253E0
7.595687917E-1,-3.936813354E-2,2.246827698E-1,9.850865021E0,9.853505663E0
7.695447917E-1,-5.239105225E-2,2.294728088E-1,9.855804749E0,9.858615006E0
7.795197917E-1,-4.879852295E-2,2.115101624E-1,9.861792297E0,9.864180917E0
7.894957917E-1,-5.089416504E-2,2.281256104E-1,9.861642609E0,9.864412119E0
7.994717917E-1,-4.760101318E-2,2.225871277E-1,9.869276733E0,9.871901242E0
8.094467917E-1,-4.146377563E-2,2.305206299E-1,9.861642609E0,9.864423650E0
8.194227917E-1,-5.583389282E-2,2.174977112E-1,9.864187317E0,9.866742831E0
8.293987917E-1,-5.239105225E-2,2.225871277E-1,9.869127045E0,9.871775852E0
8.393737916E-1,-5.688171387E-2,2.239343262E-1,9.862840118E0,9.865545971E0
8.493497916E-1,-4.415817261E-2,2.281256104E-1,9.865833893E0,9.868569787E0
8.593257917E-1,-4.924758911E-2,2.290237427E-1,9.878258057E0,9.881035342E0
8.693007916E-1,-4.415817261E-2,2.257305908E-1,9.863887939E0,9.866569289E0
8.792767916E-1,-4.954696655E-2,2.246827698E-1,9.861642609E0,9.864326241E0
8.892527916E-1,-3.547622681E-2,2.263293457E-1,9.868228912E0,9.870887772E0
8.992277917E-1,-4.685256958E-2,2.330653381E-1,9.872270508E0,9.875132384E0
9.092037917E-1,-5.523513794E-2,2.294728088E-1,9.851613464E0,9.854440448E0
9.191787917E-1,-5.673202515E-2,2.207908630E-1,9.871072998E0,9.873704941E0
9.291547917E-1,-6.077362061E-2,2.291734314E-1,9.868228912E0,9.871076728E0
9.391307917E-1,-4.984634399E-2,2.399510193E-1,9.864935760E0,9.867979464E0
9.491057917E-1,-4.101470947E-2,2.198927307E-1,9.858349457E0,9.860886828E0
9.590817917E-1,-5.718109131E-2,2.097138977E-1,9.855655060E0,9.858051849E0
9.690577917E-1,-3.757186890E-2,2.142045593E-1,9.868528290E0,9.870924265E0
9.790327917E-1,-4.580474854E-2,2.118095398E-1,9.864636383E0,9.867016384E0
9.890087917E-1,-5.538482666E-2,2.239343262E-1,9.873168640E0,9.875863155E0
9.989847917E-1,-5.448669434E-2,2.180964661E-1,9.862989807E0,9.865551318E0
1.008959792E0,-5.119354248E-2,2.179467773E-1,9.869426422E0,9.871965330E0
1.018935792E0,-5.598358154E-2,2.209405518E-1,9.870174866E0,9.872806124E0
1.028911792E0,-3.981719971E-2,2.106120300E-1,9.856702881E0,9.859033143E0
1.038886792E0,-4.266128540E-2,2.248324585E-1,9.877060547E0,9.879711264E0
1.048862792E0,-4.939727783E-2,2.342628479E-1,9.857451324E0,9.860358299E0
1.058838792E0,-4.715194702E-2,2.242337036E-1,9.871072998E0,9.873732131E0
1.068813792E0,-4.445755005E-2,2.293231201E-1,9.864636383E0,9.867401712E0
1.078789792E0,-5.313949585E-2,2.291734314E-1,9.853409729E0,9.856217710E0
1.088764792E0,-5.882766724E-2,2.278262329E-1,9.859696655E0,9.862503922E0
1.098740792E0,-6.122268677E-2,2.314187622E-1,9.863139496E0,9.866043968E0
1.108716792E0,-5.373825073E-2,2.284249878E-1,9.869426422E0,9.872215743E0
1.118691792E0,-5.134323120E-2,2.227368164E-1,9.863887939E0,9.866536023E0
1.128667792E0,-3.667373657E-2,2.233355713E-1,9.867779846E0,9.870375010E0
1.138643792E0,-4.460723877E-2,2.189945984E-1,9.863139496E0,9.865671247E0
1.148618792E0,-5.328918457E-2,2.254312134E-1,9.870174866E0,9.872892730E0
1.158594792E0,-5.418731689E-2,2.252815247E-1,9.867330780E0,9.870050899E0
1.168570792E0,-4.475692749E-2,2.344125366E-1,9.865684204E0,9.868570172E0
1.178545792E0,-4.041595459E-2,2.273771667E-1,9.864037628E0,9.866740706E0
1.188521792E0,-5.179229736E-2,2.356100464E-1,9.875114594E0,9.878060679E0
1.198497792E0,-5.658233643E-2,2.174977112E-1,9.870623932E0,9.873182041E0
1.208472792E0,-5.703140259E-2,2.305206299E-1,9.867480469E0,9.870337539E0
1.218448792E0,-4.490661621E-2,2.263293457E-1,9.867181091E0,9.869878635E0
1.228424792E0,-4.924758911E-2,2.308200073E-1,9.870623932E0,9.873445194E0
1.238399792E0,-5.059478760E-2,2.339634705E-1,9.869426422E0,9.872328836E0
1.248375792E0,-4.355941772E-2,2.227368164E-1,9.867031403E0,9.869641220E0
1.258350792E0,-4.610412598E-2,2.185455322E-1,9.873617706E0,9.876143698E0
1.268326792E0,-4.834945679E-2,2.170486450E-1,9.854756927E0,9.857265436E0
1.278302792E0,-6.107299805E-2,2.351609802E-1,9.856253815E0,9.859247936E0
1.288277792E0,-5.733078003E-2,2.302212524E-1,9.870623932E0,9.873474842E0
1.298253792E0,-5.658233643E-2,2.186952209E-1,9.876312103E0,9.878895177E0
1.308229792E0,-5.538482666E-2,2.294728088E-1,9.879006500E0,9.881826485E0
1.318204792E0,-4.026626587E-2,2.269281006E-1,9.865085449E0,9.867777291E0
1.328180792E0,-5.254074097E-2,2.218386841E-1,9.863139496E0,9.865773849E0
1.338156792E0,-5.673202515E-2,2.251318359E-1,9.867779846E0,9.870510724E0
1.348131792E0,-4.655319214E-2,2.281256104E-1,9.847272491E0,9.850024569E0
1.358107792E0,-5.298980713E-2,2.212399292E-1,9.865384827E0,9.868007540E0
1.368083792E0,-4.595443726E-2,2.234852600E-1,9.861343231E0,9.863982350E0
1.378058792E0,-5.598358154E-2,2.252815247E-1,9.858499146E0,9.861231735E0
1.388034792E0,-3.577560425E-2,2.209405518E-1,9.863289185E0,9.865828306E0
1.398009792E0,-5.029541016E-2,2.293231201E-1,9.862540741E0,9.865334692E0
1.407985792E0,-5.583389282E-2,2.224374390E-1,9.864636383E0,9.867301901E0
1.417961792E0,-4.999603271E-2,2.176473999E-1,9.853559418E0,9.856089650E0
1.427936792E0,-5.164260864E-2,2.257305908E-1,9.862840118E0,9.865558092E0
1.437912792E0,-4.146377563E-2,2.160008240E-1,9.864636383E0,9.867088049E0
1.447888792E0,-4.161346436E-2,2.287243652E-1,9.850116577E0,9.852859641E0
1.457863792E0,-4.790039063E-2,2.218386841E-1,9.861642609E0,9.864253737E0
1.467839792E0,-4.251159668E-2,2.157014465E-1,9.862690430E0,9.865140489E0
1.477815792E0,-4.745132446E-2,2.083666992E-1,9.872719574E0,9.875032157E0
1.487790792E0,-3.802093506E-2,2.210902405E-1,9.877659302E0,9.880206464E0
1.497766792E0,-3.382965088E-2,2.195933533E-1,9.849817200E0,9.852322800E0
1.507742792E0,-4.580474854E-2,2.182461548E-1,9.859546967E0,9.862068538E0
1.517717792E0,-5.493576050E-2,2.249821472E-1,9.866732025E0,9.869449618E0
1.527693792E0,-4.400848389E-2,2.287243652E-1,9.859696655E0,9.862447451E0
1.537669792E0,-3.847000122E-2,2.216889954E-1,9.865983582E0,9.868548930E0
1.547644792E0,-4.086502075E-2,2.288740540E-1,9.858948212E0,9.861689162E0
1.557620792E0,-4.909790039E-2,2.287243652E-1,9.861343231E0,9.864117587E0
1.567595792E0,-5.059478760E-2,2.140548706E-1,9.863438873E0,9.865891026E0
1.577571792E0,-4.086502075E-2,2.195933533E-1,9.860445099E0,9.862974639E0
1.587547792E0,-5.957611084E-2,2.282752991E-1,9.862840118E0,9.865661363E0
1.597522792E0,-5.568420410E-2,2.249821472E-1,9.870324554E0,9.873045351E0
1.607498792E0,-4.565505981E-2,2.149530029E-1,9.860744476E0,9.863192729E0
1.617474792E0,-6.047424316E-2,2.231858826E-1,9.854607239E0,9.857319763E0
1.627449792E0,-5.493576050E-2,2.306703186E-1,9.867031403E0,9.869880214E0
1.637425792E0,-5.673202515E-2,2.233355713E-1,9.864187317E0,9.866878368E0
1.647401792E0,-5.343887329E-2,2.200424194E-1,9.867330780E0,9.869928627E0
1.657376792E0,-3.562591553E-2,2.198927307E-1,9.865534515E0,9.868049113E0
1.667352792E0,-4.730163574E-2,2.231858826E-1,9.873318329E0,9.875953838E0
1.677327792E0,-5.239105225E-2,2.221380615E-1,9.865085449E0,9.867725222E0
1.687303792E0,-5.643264771E-2,2.273771667E-1,9.871971130E0,9.874750580E0
1.697279792E0,-5.852828979E-2,2.339634705E-1,9.863887939E0,9.866835853E0
1.707254792E0,-5.269042969E-2,2.306703186E-1,9.858050079E0,9.860889232E0
1.717230792E0,-6.526428223E-2,2.257305908E-1,9.861941986E0,9.864740922E0
1.727206792E0,-4.954696655E-2,2.218386841E-1,9.864187317E0,9.866805903E0
1.737181792E0,-4.790039063E-2,2.171983337E-1,9.865384827E0,9.867891737E0
1.747157792E0,-4.984634399E-2,2.254312134E-1,9.861941986E0,9.864644121E0
1.757133792E0,-4.161346436E-2,2.189945984E-1,9.865384827E0,9.867902923E0
1.767108792E0,-5.134323120E-2,2.314187622E-1,9.846823425E0,9.849676256E0
1.777084792E0,-4.760101318E-2,2.279759216E-1,9.864337006E0,9.867085863E0
1.787060792E0,-4.954696655E-2,2.146536255E-1,9.862540741E0,9.865000808E0
1.797035792E0,-5.358856201E-2,2.118095398E-1,9.868977356E0,9.871395497E0
1.807011792E0,-5.104385376E-2,2.167492676E-1,9.880054321E0,9.882563388E0
1.816986792E0,-5.358856201E-2,2.221380615E-1,9.858349457E0,9.860997468E0
1.826962792E0,-5.553451538E-2,2.368075562E-1,9.875413971E0,9.878408931E0
1.836938792E0,-5.014572144E-2,2.347119141E-1,9.871671753E0,9.874588977E0
1.846913792E0,-5.074447632E-2,2.315684509E-1,9.858199768E0,9.861049722E0
1.856889792E0,-4.909790039E-2,2.312690735E-1,9.863887939E0,9.866720898E0
1.866865792E0,-4.595443726E-2,2.245330811E-1,9.857451324E0,9.860115290E0
1.876840792E0,-4.834945679E-2,2.267784119E-1,9.859546967E0,9.862273191E0
1.886816792E0,-5.239105225E-2,2.249821472E-1,9.862840118E0,9.865544941E0
1.896792792E0,-5.523513794E-2,2.246827698E-1,9.868977356E0,9.871689183E0
1.906767792E0,-4.685256958E-2,2.164498901E-1,9.863738251E0,9.866224100E0
1.916743792E0,-5.134323120E-2,2.333647156E-1,9.868528290E0,9.871420659E0
1.926718792E0,-5.014572144E-2,2.224374390E-1,9.874066772E0,9.876699228E0
1.936694792E0,-4.206253052E-2,2.122586060E-1,9.861343231E0,9.863717012E0
1.946670792E0,-4.535568237E-2,2.176473999E-1,9.858050079E0,9.860556723E0
1.956645792E0,-5.493576050E-2,2.317181396E-1,9.861343231E0,9.864218244E0
1.966621792E0,-4.790039063E-2,2.354603577E-1,9.859846344E0,9.862773745E0
1.976597792E0,-6.481521606E-2,2.300715637E-1,9.874515839E0,9.877408414E0
1.986572792E0,-5.403762817E-2,2.200424194E-1,9.867330780E0,9.869931887E0
1.996548792E0,-4.984634399E-2,2.182461548E-1,9.856702881E0,9.859244785E0
2.006524792E0,-5.388793945E-2,2.222877502E-1,9.854756927E0,9.857410910E0
2.016499792E0,-4.655319214E-2,2.269281006E-1,9.870324554E0,9.873042610E0
2.026475792E0,-4.909790039E-2,2.273771667E-1,9.865085449E0,9.867827618E0
2.036450792E0,-5.418731689E-2,2.270777893E-1,9.875264282E0,9.878023346E0
2.046426792E0,-5.373825073E-2,2.272274780E-1,9.860145721E0,9.862910005E0
2.056402792E0,-4.939727783E-2,2.210902405E-1,9.862391052E0,9.864992562E0
2.066377792E0,-4.131408691E-2,2.213896179E-1,9.869725800E0,9.872294950E0
2.076353792E0,-5.358856201E-2,2.055226135E-1,9.870773621E0,9.873058450E0
2.086329792E0,-5.403762817E-2,2.157014465E-1,9.863289185E0,9.865795493E0
2.096304792E0,-4.834945679E-2,2.171983337E-1,9.866432648E0,9.868941482E0
2.106280792E0,-5.373825073E-2,2.230361938E-1,9.866881714E0,9.869548505E0
2.116256792E0,-5.508544922E-2,2.103126526E-1,9.868378601E0,9.870773122E0
2.126231792E0,-5.388793945E-2,2.203417969E-1,9.859846344E0,9.862455290E0
2.136207792E0,-3.787124634E-2,2.305206299E-1,9.862241364E0,9.865007790E0
2.146183792E0,-6.092330933E-2,2.158511353E-1,9.870025177E0,9.872573138E0
2.156158792E0,-4.610412598E-2,2.231858826E-1,9.857750702E0,9.860384700E0
2.166134792E0,-5.298980713E-2,2.225871277E-1,9.872120819E0,9.874772018E0
2.176109792E0,-4.625381470E-2,2.210902405E-1,9.863738251E0,9.866324168E0
2.186085792E0,-5.269042969E-2,2.384541321E-1,9.875114594E0,9.878133674E0
2.196061792E0,-4.864883423E-2,2.248324585E-1,9.869576111E0,9.872256528E0
2.206036792E0,-5.643264771E-2,2.263293457E-1,9.874815216E0,9.877569801E0
2.216012792E0,-5.074447632E-2,2.254312134E-1,9.873617706E0,9.876321220E0
2.225988792E0,-5.628295898E-2,2.296224976E-1,9.864337006E0,9.867169747E0
2.235963792E0,-5.912704468E-2,2.309696960E-1,9.866881714E0,9.869761789E0
2.245939792E0,-6.256988525E-2,2.213896179E-1,9.875413971E0,9.878093412E0
2.255915792E0,-5.822891235E-2,2.236349487E-1,9.873917084E0,9.876620969E0
2.265890792E0,-5.089416504E-2,2.263293457E-1,9.872420197E0,9.875145352E0
2.275866792E0,-5.014572144E-2,2.198927307E-1,9.867929535E0,9.870506609E0
2.285841792E0,-4.281097412E-2,2.225871277E-1,9.857451324E0,9.860057019E0
2.295817792E0,-3.772155762E-2,2.176473999E-1,9.857301636E0,9.859776308E0
2.305793792E0,-5.209167480E-2,2.228865051E-1,9.863289185E0,9.865944733E0
2.315768792E0,-3.936813354E-2,2.173480225E-1,9.859846344E0,9.862320211E0
2.325744792E0,-4.056564331E-2,2.197430420E-1,9.869127045E0,9.871656457E0
2.335720792E0,-3.951782227E-2,2.255809021E-1,9.855954437E0,9.858614825E0
2.345695792E0,-5.748046875E-2,2.270777893E-1,9.864337006E0,9.867117760E0
2.355671792E0,-5.059478760E-2,2.338137817E-1,9.867480469E0,9.870379907E0
2.365647792E0,-4.041595459E-2,2.236349487E-1,9.861193542E0,9.863811845E0
2.375622792E0,-3.622467041E-2,2.323168945E-1,9.859247589E0,9.862050821E0
2.385598792E0,-4.415817261E-2,2.287243652E-1,9.865384827E0,9.868134705E0
2.395573792E0,-4.400848389E-2,2.263293457E-1,9.873468018E0,9.876159801E0
2.405549792E0,-4.086502075E-2,2.272274780E-1,9.865235138E0,9.867936289E0
2.415525792E0,-4.760101318E-2,2.255809021E-1,9.869426422E0,9.872118846E0
2.425500792E0,-4.834945679E-2,2.263293457E-1,9.867480469E0,9.870194195E0
2.435476792E0,-4.535568237E-2,2.192939758E-1,9.853858795E0,9.856403002E0
2.445452792E0,-4.595443726E-2,2.329156494E-1,9.863438873E0,9.866295552E0
2.455427792E0,-3.802093506E-2,2.285746765E-1,9.869875488E0,9.872595106E0
2.465403792E0,-4.086502075E-2,2.246827698E-1,9.866732025E0,9.869374507E0
2.475379792E0,-4.760101318E-2,2.290237427E-1,9.863139496E0,9.865912956E0
2.485354792E0,-5.089416504E-2,2.284249878E-1,9.869426422E0,9.872200671E0
2.495330792E0,-5.254074097E-2,2.254312134E-1,9.870474243E0,9.873188013E0
2.505305792E0,-5.149291992E-2,2.354603577E-1,9.868677979E0,9.871620847E0
2.515281792E0,-4.849914551E-2,2.219883728E-1,9.868677979E0,9.871293535E0
2.525257792E0,-4.041595459E-2,2.222877502E-1,9.859546967E0,9.862135249E0
2.535232333E0,-4.251159668E-2,2.236349487E-1,9.876312103E0,9.878935195E0
2.545208333E0,-4.894821167E-2,2.228865051E-1,9.861492920E0,9.864132852E0
2.555184333E0,-4.879852295E-2,2.079176331E-1,9.851763153E0,9.854077748E0
